"experiment","ensemble","model","year","TXx"
"historical","r10i1p1f1","CanESM5",1949,84.098912
"historical","r10i1p1f1","CanESM5",1950,81.130676
"historical","r10i1p1f1","CanESM5",1951,86.57699
"historical","r10i1p1f1","CanESM5",1952,88.4993720000001
"historical","r10i1p1f1","CanESM5",1953,85.408646
"historical","r10i1p1f1","CanESM5",1954,82.639328
"historical","r10i1p1f1","CanESM5",1955,86.831384
"historical","r10i1p1f1","CanESM5",1956,75.99668
"historical","r10i1p1f1","CanESM5",1957,84.741008
"historical","r10i1p1f1","CanESM5",1958,86.1167660000001
"historical","r10i1p1f1","CanESM5",1959,89.6278460000001
"historical","r10i1p1f1","CanESM5",1960,91.188608
"historical","r10i1p1f1","CanESM5",1961,88.35233
"historical","r10i1p1f1","CanESM5",1962,81.081896
"historical","r10i1p1f1","CanESM5",1963,79.7108720000001
"historical","r10i1p1f1","CanESM5",1964,80.7201320000001
"historical","r10i1p1f1","CanESM5",1965,75.05393
"historical","r10i1p1f1","CanESM5",1966,85.343234
"historical","r10i1p1f1","CanESM5",1967,81.14216
"historical","r10i1p1f1","CanESM5",1968,84.1640720000001
"historical","r10i1p1f1","CanESM5",1969,88.5378200000001
"historical","r10i1p1f1","CanESM5",1970,87.343952
"historical","r10i1p1f1","CanESM5",1971,84.3377540000001
"historical","r10i1p1f1","CanESM5",1972,79.061954
"historical","r10i1p1f1","CanESM5",1973,84.4168640000001
"historical","r10i1p1f1","CanESM5",1974,83.0086340000001
"historical","r10i1p1f1","CanESM5",1975,89.873492
"historical","r10i1p1f1","CanESM5",1976,86.23175
"historical","r10i1p1f1","CanESM5",1977,85.46216
"historical","r10i1p1f1","CanESM5",1978,91.8148280000001
"historical","r10i1p1f1","CanESM5",1979,77.4541400000001
"historical","r10i1p1f1","CanESM5",1980,84.5096360000001
"historical","r10i1p1f1","CanESM5",1981,83.0823440000001
"historical","r10i1p1f1","CanESM5",1982,81.474944
"historical","r10i1p1f1","CanESM5",1983,70.2260960000001
"historical","r10i1p1f1","CanESM5",1984,83.5030400000001
"historical","r10i1p1f1","CanESM5",1985,78.88964
"historical","r10i1p1f1","CanESM5",1986,80.6284940000001
"historical","r10i1p1f1","CanESM5",1987,85.7497280000001
"historical","r10i1p1f1","CanESM5",1988,86.120996
"historical","r10i1p1f1","CanESM5",1989,80.9881340000001
"historical","r10i1p1f1","CanESM5",1990,82.182236
"historical","r10i1p1f1","CanESM5",1991,89.171636
"historical","r10i1p1f1","CanESM5",1992,77.2459160000001
"historical","r10i1p1f1","CanESM5",1993,80.265074
"historical","r10i1p1f1","CanESM5",1994,77.464328
"historical","r10i1p1f1","CanESM5",1995,85.2917000000001
"historical","r10i1p1f1","CanESM5",1996,85.60157
"historical","r10i1p1f1","CanESM5",1997,84.119234
"historical","r10i1p1f1","CanESM5",1998,87.85526
"historical","r10i1p1f1","CanESM5",1999,87.1598660000001
"historical","r10i1p1f1","CanESM5",2000,81.4492400000001
"historical","r10i1p1f1","CanESM5",2001,84.2371700000001
"historical","r10i1p1f1","CanESM5",2002,78.54719
"historical","r10i1p1f1","CanESM5",2003,87.0678680000001
"historical","r10i1p1f1","CanESM5",2004,85.848548
"historical","r10i1p1f1","CanESM5",2005,91.407848
"historical","r10i1p1f1","CanESM5",2006,89.207834
"historical","r10i1p1f1","CanESM5",2007,83.427656
"historical","r10i1p1f1","CanESM5",2008,87.6994700000001
"historical","r10i1p1f1","CanESM5",2009,94.0560440000001
"historical","r10i1p1f1","CanESM5",2010,92.529824
"historical","r10i1p1f1","CanESM5",2011,87.2659940000001
"historical","r10i1p1f1","CanESM5",2012,71.952152
"historical","r10i1p1f1","CanESM5",2013,78.746
"historical","r10i1p1f1","CanESM5",2014,87.7581860000001
"historical","r11i1p1f1","CanESM5",1850,82.13126
"historical","r11i1p1f1","CanESM5",1851,81.495374
"historical","r11i1p1f1","CanESM5",1852,75.9335
"historical","r11i1p1f1","CanESM5",1853,77.98676
"historical","r11i1p1f1","CanESM5",1854,83.510492
"historical","r11i1p1f1","CanESM5",1855,85.073234
"historical","r11i1p1f1","CanESM5",1856,81.726368
"historical","r11i1p1f1","CanESM5",1857,83.942528
"historical","r11i1p1f1","CanESM5",1858,88.27556
"historical","r11i1p1f1","CanESM5",1859,82.72931
"historical","r11i1p1f1","CanESM5",1860,74.3723960000001
"historical","r11i1p1f1","CanESM5",1861,83.94017
"historical","r11i1p1f1","CanESM5",1862,82.97096
"historical","r11i1p1f1","CanESM5",1863,83.2257680000001
"historical","r11i1p1f1","CanESM5",1864,82.552694
"historical","r11i1p1f1","CanESM5",1865,80.2843520000001
"historical","r11i1p1f1","CanESM5",1866,80.477114
"historical","r11i1p1f1","CanESM5",1867,76.6472720000001
"historical","r11i1p1f1","CanESM5",1868,79.816496
"historical","r11i1p1f1","CanESM5",1869,83.26292
"historical","r11i1p1f1","CanESM5",1870,85.877654
"historical","r11i1p1f1","CanESM5",1871,74.7012200000001
"historical","r11i1p1f1","CanESM5",1872,74.4454940000001
"historical","r11i1p1f1","CanESM5",1873,84.369668
"historical","r11i1p1f1","CanESM5",1874,82.4141120000001
"historical","r11i1p1f1","CanESM5",1875,85.531316
"historical","r11i1p1f1","CanESM5",1876,82.034852
"historical","r11i1p1f1","CanESM5",1877,78.8811800000001
"historical","r11i1p1f1","CanESM5",1878,85.2191960000001
"historical","r11i1p1f1","CanESM5",1879,72.126788
"historical","r11i1p1f1","CanESM5",1880,85.537346
"historical","r11i1p1f1","CanESM5",1881,87.345374
"historical","r11i1p1f1","CanESM5",1882,81.325094
"historical","r11i1p1f1","CanESM5",1883,84.1580240000001
"historical","r11i1p1f1","CanESM5",1884,83.959664
"historical","r11i1p1f1","CanESM5",1885,85.6328000000001
"historical","r11i1p1f1","CanESM5",1886,83.282
"historical","r11i1p1f1","CanESM5",1887,78.8895320000001
"historical","r11i1p1f1","CanESM5",1888,82.5968120000001
"historical","r11i1p1f1","CanESM5",1889,75.9227
"historical","r11i1p1f1","CanESM5",1890,80.03444
"historical","r11i1p1f1","CanESM5",1891,75.5416400000001
"historical","r11i1p1f1","CanESM5",1892,87.601748
"historical","r11i1p1f1","CanESM5",1893,90.05036
"historical","r11i1p1f1","CanESM5",1894,77.940968
"historical","r11i1p1f1","CanESM5",1895,80.911184
"historical","r11i1p1f1","CanESM5",1896,86.70065
"historical","r11i1p1f1","CanESM5",1897,80.0816000000001
"historical","r11i1p1f1","CanESM5",1898,90.517136
"historical","r11i1p1f1","CanESM5",1899,78.8059760000001
"historical","r11i1p1f1","CanESM5",1900,83.77232
"historical","r11i1p1f1","CanESM5",1901,81.057236
"historical","r11i1p1f1","CanESM5",1902,87.630746
"historical","r11i1p1f1","CanESM5",1903,83.47406
"historical","r11i1p1f1","CanESM5",1904,86.82854
"historical","r11i1p1f1","CanESM5",1905,81.4883000000001
"historical","r11i1p1f1","CanESM5",1906,79.740752
"historical","r11i1p1f1","CanESM5",1907,83.26292
"historical","r11i1p1f1","CanESM5",1908,87.5084
"historical","r11i1p1f1","CanESM5",1909,81.26312
"historical","r11i1p1f1","CanESM5",1910,86.762336
"historical","r11i1p1f1","CanESM5",1911,80.280446
"historical","r11i1p1f1","CanESM5",1912,78.59012
"historical","r11i1p1f1","CanESM5",1913,74.9081840000001
"historical","r11i1p1f1","CanESM5",1914,81.0203000000001
"historical","r11i1p1f1","CanESM5",1915,83.384366
"historical","r11i1p1f1","CanESM5",1916,82.91444
"historical","r11i1p1f1","CanESM5",1917,64.61024
"historical","r11i1p1f1","CanESM5",1918,79.7895320000001
"historical","r11i1p1f1","CanESM5",1919,83.507576
"historical","r11i1p1f1","CanESM5",1920,83.672816
"historical","r11i1p1f1","CanESM5",1921,80.950064
"historical","r11i1p1f1","CanESM5",1922,88.825172
"historical","r11i1p1f1","CanESM5",1923,90.9923
"historical","r11i1p1f1","CanESM5",1924,83.2222400000001
"historical","r11i1p1f1","CanESM5",1925,85.5063680000001
"historical","r11i1p1f1","CanESM5",1926,90.738716
"historical","r11i1p1f1","CanESM5",1927,87.5024240000001
"historical","r11i1p1f1","CanESM5",1928,80.5649900000001
"historical","r11i1p1f1","CanESM5",1929,87.5030360000001
"historical","r11i1p1f1","CanESM5",1930,80.899916
"historical","r11i1p1f1","CanESM5",1931,90.0652100000001
"historical","r11i1p1f1","CanESM5",1932,87.931832
"historical","r11i1p1f1","CanESM5",1933,82.7677400000001
"historical","r11i1p1f1","CanESM5",1934,85.381232
"historical","r11i1p1f1","CanESM5",1935,86.0521280000001
"historical","r11i1p1f1","CanESM5",1936,77.032886
"historical","r11i1p1f1","CanESM5",1937,85.43138
"historical","r11i1p1f1","CanESM5",1938,82.57928
"historical","r11i1p1f1","CanESM5",1939,83.7518000000001
"historical","r11i1p1f1","CanESM5",1940,86.0821160000001
"historical","r11i1p1f1","CanESM5",1941,85.743176
"historical","r11i1p1f1","CanESM5",1942,83.7662
"historical","r11i1p1f1","CanESM5",1943,80.9745080000001
"historical","r11i1p1f1","CanESM5",1944,86.0392040000001
"historical","r11i1p1f1","CanESM5",1945,84.6279680000001
"historical","r11i1p1f1","CanESM5",1946,82.695956
"historical","r11i1p1f1","CanESM5",1947,85.88264
"historical","r11i1p1f1","CanESM5",1948,84.324848
"historical","r11i1p1f1","CanESM5",1949,83.717906
"historical","r11i1p1f1","CanESM5",1950,83.8582520000001
"historical","r11i1p1f1","CanESM5",1951,85.12394
"historical","r11i1p1f1","CanESM5",1952,82.049684
"historical","r11i1p1f1","CanESM5",1953,80.6545940000001
"historical","r11i1p1f1","CanESM5",1954,82.370048
"historical","r11i1p1f1","CanESM5",1955,80.152304
"historical","r11i1p1f1","CanESM5",1956,83.1067880000001
"historical","r11i1p1f1","CanESM5",1957,84.9245
"historical","r11i1p1f1","CanESM5",1958,82.49882
"historical","r11i1p1f1","CanESM5",1959,85.811306
"historical","r11i1p1f1","CanESM5",1960,87.7263800000001
"historical","r11i1p1f1","CanESM5",1961,82.5143000000001
"historical","r11i1p1f1","CanESM5",1962,89.73356
"historical","r11i1p1f1","CanESM5",1963,89.707874
"historical","r11i1p1f1","CanESM5",1964,80.838392
"historical","r11i1p1f1","CanESM5",1965,82.30658
"historical","r11i1p1f1","CanESM5",1966,80.2094
"historical","r11i1p1f1","CanESM5",1967,85.880894
"historical","r11i1p1f1","CanESM5",1968,81.605732
"historical","r11i1p1f1","CanESM5",1969,85.43822
"historical","r11i1p1f1","CanESM5",1970,79.0079540000001
"historical","r11i1p1f1","CanESM5",1971,87.0603260000001
"historical","r11i1p1f1","CanESM5",1972,86.34551
"historical","r11i1p1f1","CanESM5",1973,87.410246
"historical","r11i1p1f1","CanESM5",1974,85.359974
"historical","r11i1p1f1","CanESM5",1975,78.8041040000001
"historical","r11i1p1f1","CanESM5",1976,81.0782240000001
"historical","r11i1p1f1","CanESM5",1977,79.862414
"historical","r11i1p1f1","CanESM5",1978,85.1077940000001
"historical","r11i1p1f1","CanESM5",1979,86.678114
"historical","r11i1p1f1","CanESM5",1980,79.46672
"historical","r11i1p1f1","CanESM5",1981,86.140886
"historical","r11i1p1f1","CanESM5",1982,88.6486280000001
"historical","r11i1p1f1","CanESM5",1983,84.1966880000001
"historical","r11i1p1f1","CanESM5",1984,81.03164
"historical","r11i1p1f1","CanESM5",1985,85.791416
"historical","r11i1p1f1","CanESM5",1986,78.7809200000001
"historical","r11i1p1f1","CanESM5",1987,83.1344
"historical","r11i1p1f1","CanESM5",1988,83.608808
"historical","r11i1p1f1","CanESM5",1989,77.8957520000001
"historical","r11i1p1f1","CanESM5",1990,81.856328
"historical","r11i1p1f1","CanESM5",1991,91.5617120000001
"historical","r11i1p1f1","CanESM5",1992,76.17038
"historical","r11i1p1f1","CanESM5",1993,79.96244
"historical","r11i1p1f1","CanESM5",1994,80.918204
"historical","r11i1p1f1","CanESM5",1995,82.9333760000001
"historical","r11i1p1f1","CanESM5",1996,86.99765
"historical","r11i1p1f1","CanESM5",1997,84.612146
"historical","r11i1p1f1","CanESM5",1998,89.6127800000001
"historical","r11i1p1f1","CanESM5",1999,84.689096
"historical","r11i1p1f1","CanESM5",2000,83.479514
"historical","r11i1p1f1","CanESM5",2001,76.032968
"historical","r11i1p1f1","CanESM5",2002,84.899984
"historical","r11i1p1f1","CanESM5",2003,88.001636
"historical","r11i1p1f1","CanESM5",2004,86.2968200000001
"historical","r11i1p1f1","CanESM5",2005,81.242906
"historical","r11i1p1f1","CanESM5",2006,90.9843800000001
"historical","r11i1p1f1","CanESM5",2007,89.387024
"historical","r11i1p1f1","CanESM5",2008,90.6617120000001
"historical","r11i1p1f1","CanESM5",2009,85.6561100000001
"historical","r11i1p1f1","CanESM5",2010,87.803564
"historical","r11i1p1f1","CanESM5",2011,86.178956
"historical","r11i1p1f1","CanESM5",2012,84.644006
"historical","r11i1p1f1","CanESM5",2013,88.013228
"historical","r11i1p1f1","CanESM5",2014,89.23064
"historical","r12i1p1f1","CanESM5",1850,81.9716
"historical","r12i1p1f1","CanESM5",1851,86.73512
"historical","r12i1p1f1","CanESM5",1852,86.031086
"historical","r12i1p1f1","CanESM5",1853,84.2221400000001
"historical","r12i1p1f1","CanESM5",1854,81.8957120000001
"historical","r12i1p1f1","CanESM5",1855,79.983104
"historical","r12i1p1f1","CanESM5",1856,83.426216
"historical","r12i1p1f1","CanESM5",1857,78.9525860000001
"historical","r12i1p1f1","CanESM5",1858,82.3354520000001
"historical","r12i1p1f1","CanESM5",1859,83.14664
"historical","r12i1p1f1","CanESM5",1860,82.2107480000001
"historical","r12i1p1f1","CanESM5",1861,89.980124
"historical","r12i1p1f1","CanESM5",1862,83.5181240000001
"historical","r12i1p1f1","CanESM5",1863,81.41756
"historical","r12i1p1f1","CanESM5",1864,82.20866
"historical","r12i1p1f1","CanESM5",1865,85.0483040000001
"historical","r12i1p1f1","CanESM5",1866,81.0608720000001
"historical","r12i1p1f1","CanESM5",1867,81.4247600000001
"historical","r12i1p1f1","CanESM5",1868,83.1705800000001
"historical","r12i1p1f1","CanESM5",1869,77.33408
"historical","r12i1p1f1","CanESM5",1870,83.5239200000001
"historical","r12i1p1f1","CanESM5",1871,84.30107
"historical","r12i1p1f1","CanESM5",1872,79.04516
"historical","r12i1p1f1","CanESM5",1873,85.79516
"historical","r12i1p1f1","CanESM5",1874,77.529308
"historical","r12i1p1f1","CanESM5",1875,83.7281300000001
"historical","r12i1p1f1","CanESM5",1876,85.78634
"historical","r12i1p1f1","CanESM5",1877,81.48974
"historical","r12i1p1f1","CanESM5",1878,84.318692
"historical","r12i1p1f1","CanESM5",1879,86.14841
"historical","r12i1p1f1","CanESM5",1880,83.5246040000001
"historical","r12i1p1f1","CanESM5",1881,84.64757
"historical","r12i1p1f1","CanESM5",1882,81.327668
"historical","r12i1p1f1","CanESM5",1883,84.8474060000001
"historical","r12i1p1f1","CanESM5",1884,86.891648
"historical","r12i1p1f1","CanESM5",1885,79.98728
"historical","r12i1p1f1","CanESM5",1886,88.4152400000001
"historical","r12i1p1f1","CanESM5",1887,82.73948
"historical","r12i1p1f1","CanESM5",1888,84.2381060000001
"historical","r12i1p1f1","CanESM5",1889,83.115644
"historical","r12i1p1f1","CanESM5",1890,81.6025460000001
"historical","r12i1p1f1","CanESM5",1891,91.3870400000001
"historical","r12i1p1f1","CanESM5",1892,73.835654
"historical","r12i1p1f1","CanESM5",1893,79.859012
"historical","r12i1p1f1","CanESM5",1894,79.807874
"historical","r12i1p1f1","CanESM5",1895,84.5216600000001
"historical","r12i1p1f1","CanESM5",1896,78.10934
"historical","r12i1p1f1","CanESM5",1897,74.813828
"historical","r12i1p1f1","CanESM5",1898,83.4944540000001
"historical","r12i1p1f1","CanESM5",1899,82.054634
"historical","r12i1p1f1","CanESM5",1900,85.76213
"historical","r12i1p1f1","CanESM5",1901,86.30726
"historical","r12i1p1f1","CanESM5",1902,83.73164
"historical","r12i1p1f1","CanESM5",1903,79.802114
"historical","r12i1p1f1","CanESM5",1904,80.6590940000001
"historical","r12i1p1f1","CanESM5",1905,86.679824
"historical","r12i1p1f1","CanESM5",1906,82.2078320000001
"historical","r12i1p1f1","CanESM5",1907,79.136996
"historical","r12i1p1f1","CanESM5",1908,81.19634
"historical","r12i1p1f1","CanESM5",1909,77.8992800000001
"historical","r12i1p1f1","CanESM5",1910,89.2785200000001
"historical","r12i1p1f1","CanESM5",1911,87.4032260000001
"historical","r12i1p1f1","CanESM5",1912,85.128548
"historical","r12i1p1f1","CanESM5",1913,83.068232
"historical","r12i1p1f1","CanESM5",1914,84.0074
"historical","r12i1p1f1","CanESM5",1915,78.00044
"historical","r12i1p1f1","CanESM5",1916,79.950812
"historical","r12i1p1f1","CanESM5",1917,86.022284
"historical","r12i1p1f1","CanESM5",1918,78.8073800000001
"historical","r12i1p1f1","CanESM5",1919,81.2555960000001
"historical","r12i1p1f1","CanESM5",1920,83.6451320000001
"historical","r12i1p1f1","CanESM5",1921,78.552572
"historical","r12i1p1f1","CanESM5",1922,75.1679600000001
"historical","r12i1p1f1","CanESM5",1923,87.63242
"historical","r12i1p1f1","CanESM5",1924,83.9194520000001
"historical","r12i1p1f1","CanESM5",1925,82.72994
"historical","r12i1p1f1","CanESM5",1926,79.13246
"historical","r12i1p1f1","CanESM5",1927,82.12028
"historical","r12i1p1f1","CanESM5",1928,83.4427040000001
"historical","r12i1p1f1","CanESM5",1929,77.28494
"historical","r12i1p1f1","CanESM5",1930,86.1374840000001
"historical","r12i1p1f1","CanESM5",1931,78.66176
"historical","r12i1p1f1","CanESM5",1932,82.8565340000001
"historical","r12i1p1f1","CanESM5",1933,88.4735060000001
"historical","r12i1p1f1","CanESM5",1934,82.06898
"historical","r12i1p1f1","CanESM5",1935,85.541972
"historical","r12i1p1f1","CanESM5",1936,89.040452
"historical","r12i1p1f1","CanESM5",1937,88.0727
"historical","r12i1p1f1","CanESM5",1938,83.5141100000001
"historical","r12i1p1f1","CanESM5",1939,84.388406
"historical","r12i1p1f1","CanESM5",1940,81.4947080000001
"historical","r12i1p1f1","CanESM5",1941,79.03382
"historical","r12i1p1f1","CanESM5",1942,83.254676
"historical","r12i1p1f1","CanESM5",1943,88.3205240000001
"historical","r12i1p1f1","CanESM5",1944,85.45658
"historical","r12i1p1f1","CanESM5",1945,84.57566
"historical","r12i1p1f1","CanESM5",1946,91.2606800000001
"historical","r12i1p1f1","CanESM5",1947,85.0780400000001
"historical","r12i1p1f1","CanESM5",1948,84.7700060000001
"historical","r12i1p1f1","CanESM5",1949,80.202056
"historical","r12i1p1f1","CanESM5",1950,76.9532900000001
"historical","r12i1p1f1","CanESM5",1951,82.36274
"historical","r12i1p1f1","CanESM5",1952,91.1620400000001
"historical","r12i1p1f1","CanESM5",1953,86.3239280000001
"historical","r12i1p1f1","CanESM5",1954,85.7320880000001
